Day,Month,AQI,Year,Date,AQI_Category,Season,Month_Num
13,June,49,2024,13-06-2024,Good,Monsoon,6
14,June,33,2024,14-06-2024,Good,Monsoon,6
15,June,45,2024,15-06-2024,Good,Monsoon,6
16,June,50,2024,16-06-2024,Good,Monsoon,6
17,June,44,2024,17-06-2024,Good,Monsoon,6
18,June,58,2024,18-06-2024,Satisfactory,Monsoon,6
19,June,55,2024,19-06-2024,Satisfactory,Monsoon,6
20,June,47,2024,20-06-2024,Good,Monsoon,6
21,June,41,2024,21-06-2024,Good,Monsoon,6
22,June,58,2024,22-06-2024,Satisfactory,Monsoon,6
23,June,60,2024,23-06-2024,Satisfactory,Monsoon,6
24,June,54,2024,24-06-2024,Satisfactory,Monsoon,6
25,June,63,2024,25-06-2024,Satisfactory,Monsoon,6
26,June,50,2024,26-06-2024,Good,Monsoon,6
27,June,40,2024,27-06-2024,Good,Monsoon,6
28,June,48,2024,28-06-2024,Good,Monsoon,6
29,June,52,2024,29-06-2024,Satisfactory,Monsoon,6
30,June,56,2024,30-06-2024,Satisfactory,Monsoon,6
1,July,50,2024,01-07-2024,Good,Monsoon,7
2,July,47,2024,02-07-2024,Good,Monsoon,7
3,July,31,2024,03-07-2024,Good,Monsoon,7
4,July,42,2024,04-07-2024,Good,Monsoon,7
5,July,49,2024,05-07-2024,Good,Monsoon,7
6,July,56,2024,06-07-2024,Satisfactory,Monsoon,7
7,July,44,2024,07-07-2024,Good,Monsoon,7
8,July,44,2024,08-07-2024,Good,Monsoon,7
9,July,44,2024,09-07-2024,Good,Monsoon,7
10,July,46,2024,10-07-2024,Good,Monsoon,7
11,July,35,2024,11-07-2024,Good,Monsoon,7
12,July,44,2024,12-07-2024,Good,Monsoon,7
13,July,38,2024,13-07-2024,Good,Monsoon,7
14,July,39,2024,14-07-2024,Good,Monsoon,7
15,July,34,2024,15-07-2024,Good,Monsoon,7
16,July,44,2024,16-07-2024,Good,Monsoon,7
17,July,29,2024,17-07-2024,Good,Monsoon,7
18,July,29,2024,18-07-2024,Good,Monsoon,7
19,July,34,2024,19-07-2024,Good,Monsoon,7
20,July,32,2024,20-07-2024,Good,Monsoon,7
21,July,28,2024,21-07-2024,Good,Monsoon,7
