Day,Month,AQI,Year,Date,AQI_Category,Season,Month_Num
12,June,50,2023,12-06-2023,Good,Monsoon,6
13,June,34,2023,13-06-2023,Good,Monsoon,6
14,June,33,2023,14-06-2023,Good,Monsoon,6
15,June,44,2023,15-06-2023,Good,Monsoon,6
16,June,56,2023,16-06-2023,Satisfactory,Monsoon,6
17,June,59,2023,17-06-2023,Satisfactory,Monsoon,6
18,June,60,2023,18-06-2023,Satisfactory,Monsoon,6
19,June,74,2023,19-06-2023,Satisfactory,Monsoon,6
20,June,72,2023,20-06-2023,Satisfactory,Monsoon,6
21,June,71,2023,21-06-2023,Satisfactory,Monsoon,6
22,June,68,2023,22-06-2023,Satisfactory,Monsoon,6
23,June,123,2023,23-06-2023,Moderate,Monsoon,6
24,June,36,2023,24-06-2023,Good,Monsoon,6
25,June,38,2023,25-06-2023,Good,Monsoon,6
26,June,48,2023,26-06-2023,Good,Monsoon,6
27,June,48,2023,27-06-2023,Good,Monsoon,6
28,June,30,2023,28-06-2023,Good,Monsoon,6
29,June,32,2023,29-06-2023,Good,Monsoon,6
30,June,36,2023,30-06-2023,Good,Monsoon,6
1,July,27,2023,01-07-2023,Good,Monsoon,7
2,July,27,2023,02-07-2023,Good,Monsoon,7
3,July,26,2023,03-07-2023,Good,Monsoon,7
4,July,338,2023,04-07-2023,Very Poor,Monsoon,7
7,July,30,2023,07-07-2023,Good,Monsoon,7
8,July,36,2023,08-07-2023,Good,Monsoon,7
9,July,20,2023,09-07-2023,Good,Monsoon,7
11,July,54,2023,11-07-2023,Satisfactory,Monsoon,7
12,July,64,2023,12-07-2023,Satisfactory,Monsoon,7
13,July,61,2023,13-07-2023,Satisfactory,Monsoon,7
14,July,36,2023,14-07-2023,Good,Monsoon,7
15,July,32,2023,15-07-2023,Good,Monsoon,7
16,July,46,2023,16-07-2023,Good,Monsoon,7
17,July,42,2023,17-07-2023,Good,Monsoon,7
18,July,34,2023,18-07-2023,Good,Monsoon,7
19,July,34,2023,19-07-2023,Good,Monsoon,7
20,July,36,2023,20-07-2023,Good,Monsoon,7
21,July,31,2023,21-07-2023,Good,Monsoon,7
22,July,34,2023,22-07-2023,Good,Monsoon,7
23,July,32,2023,23-07-2023,Good,Monsoon,7
24,July,25,2023,24-07-2023,Good,Monsoon,7
25,July,25,2023,25-07-2023,Good,Monsoon,7
26,July,25,2023,26-07-2023,Good,Monsoon,7
27,July,25,2023,27-07-2023,Good,Monsoon,7
28,July,28,2023,28-07-2023,Good,Monsoon,7
29,July,32,2023,29-07-2023,Good,Monsoon,7
30,July,32,2023,30-07-2023,Good,Monsoon,7
31,July,33,2023,31-07-2023,Good,Monsoon,7
1,August,28,2023,01-08-2023,Good,Monsoon,8
2,August,30,2023,02-08-2023,Good,Monsoon,8
3,August,38,2023,03-08-2023,Good,Monsoon,8
4,August,35,2023,04-08-2023,Good,Monsoon,8
5,August,38,2023,05-08-2023,Good,Monsoon,8
6,August,36,2023,06-08-2023,Good,Monsoon,8
7,August,36,2023,07-08-2023,Good,Monsoon,8
8,August,72,2023,08-08-2023,Satisfactory,Monsoon,8
9,August,48,2023,09-08-2023,Good,Monsoon,8
10,August,57,2023,10-08-2023,Satisfactory,Monsoon,8
11,August,51,2023,11-08-2023,Satisfactory,Monsoon,8
12,August,60,2023,12-08-2023,Satisfactory,Monsoon,8
13,August,49,2023,13-08-2023,Good,Monsoon,8
14,August,42,2023,14-08-2023,Good,Monsoon,8
15,August,49,2023,15-08-2023,Good,Monsoon,8
16,August,44,2023,16-08-2023,Good,Monsoon,8
17,August,32,2023,17-08-2023,Good,Monsoon,8
18,August,42,2023,18-08-2023,Good,Monsoon,8
19,August,38,2023,19-08-2023,Good,Monsoon,8
20,August,38,2023,20-08-2023,Good,Monsoon,8
21,August,40,2023,21-08-2023,Good,Monsoon,8
22,August,44,2023,22-08-2023,Good,Monsoon,8
23,August,50,2023,23-08-2023,Good,Monsoon,8
24,August,45,2023,24-08-2023,Good,Monsoon,8
25,August,30,2023,25-08-2023,Good,Monsoon,8
26,August,30,2023,26-08-2023,Good,Monsoon,8
27,August,36,2023,27-08-2023,Good,Monsoon,8
28,August,34,2023,28-08-2023,Good,Monsoon,8
29,August,44,2023,29-08-2023,Good,Monsoon,8
30,August,58,2023,30-08-2023,Satisfactory,Monsoon,8
31,August,65,2023,31-08-2023,Satisfactory,Monsoon,8
1,September,71,2023,01-09-2023,Satisfactory,Monsoon,9
2,September,63,2023,02-09-2023,Satisfactory,Monsoon,9
3,September,54,2023,03-09-2023,Satisfactory,Monsoon,9
4,September,54,2023,04-09-2023,Satisfactory,Monsoon,9
5,September,64,2023,05-09-2023,Satisfactory,Monsoon,9
6,September,60,2023,06-09-2023,Satisfactory,Monsoon,9
7,September,54,2023,07-09-2023,Satisfactory,Monsoon,9
8,September,40,2023,08-09-2023,Good,Monsoon,9
9,September,30,2023,09-09-2023,Good,Monsoon,9
10,September,28,2023,10-09-2023,Good,Monsoon,9
11,September,28,2023,11-09-2023,Good,Monsoon,9
12,September,33,2023,12-09-2023,Good,Monsoon,9
13,September,40,2023,13-09-2023,Good,Monsoon,9
14,September,39,2023,14-09-2023,Good,Monsoon,9
15,September,36,2023,15-09-2023,Good,Monsoon,9
16,September,27,2023,16-09-2023,Good,Monsoon,9
17,September,36,2023,17-09-2023,Good,Monsoon,9
18,September,32,2023,18-09-2023,Good,Monsoon,9
19,September,24,2023,19-09-2023,Good,Monsoon,9
20,September,34,2023,20-09-2023,Good,Monsoon,9
21,September,36,2023,21-09-2023,Good,Monsoon,9
22,September,35,2023,22-09-2023,Good,Monsoon,9
23,September,30,2023,23-09-2023,Good,Monsoon,9
24,September,31,2023,24-09-2023,Good,Monsoon,9
25,September,41,2023,25-09-2023,Good,Monsoon,9
26,September,36,2023,26-09-2023,Good,Monsoon,9
27,September,44,2023,27-09-2023,Good,Monsoon,9
28,September,44,2023,28-09-2023,Good,Monsoon,9
29,September,52,2023,29-09-2023,Satisfactory,Monsoon,9
30,September,59,2023,30-09-2023,Satisfactory,Monsoon,9
2,October,68,2023,02-10-2023,Satisfactory,Post-Monsoon,10
3,October,78,2023,03-10-2023,Satisfactory,Post-Monsoon,10
4,October,88,2023,04-10-2023,Satisfactory,Post-Monsoon,10
5,October,75,2023,05-10-2023,Satisfactory,Post-Monsoon,10
6,October,109,2023,06-10-2023,Moderate,Post-Monsoon,10
7,October,112,2023,07-10-2023,Moderate,Post-Monsoon,10
8,October,107,2023,08-10-2023,Moderate,Post-Monsoon,10
9,October,118,2023,09-10-2023,Moderate,Post-Monsoon,10
11,October,114,2023,11-10-2023,Moderate,Post-Monsoon,10
12,October,116,2023,12-10-2023,Moderate,Post-Monsoon,10
13,October,124,2023,13-10-2023,Moderate,Post-Monsoon,10
14,October,98,2023,14-10-2023,Satisfactory,Post-Monsoon,10
15,October,130,2023,15-10-2023,Moderate,Post-Monsoon,10
16,October,146,2023,16-10-2023,Moderate,Post-Monsoon,10
17,October,150,2023,17-10-2023,Moderate,Post-Monsoon,10
18,October,100,2023,18-10-2023,Satisfactory,Post-Monsoon,10
19,October,102,2023,19-10-2023,Moderate,Post-Monsoon,10
20,October,156,2023,20-10-2023,Moderate,Post-Monsoon,10
21,October,172,2023,21-10-2023,Moderate,Post-Monsoon,10
22,October,189,2023,22-10-2023,Moderate,Post-Monsoon,10
23,October,188,2023,23-10-2023,Moderate,Post-Monsoon,10
24,October,134,2023,24-10-2023,Moderate,Post-Monsoon,10
25,October,107,2023,25-10-2023,Moderate,Post-Monsoon,10
26,October,131,2023,26-10-2023,Moderate,Post-Monsoon,10
28,October,158,2023,28-10-2023,Moderate,Post-Monsoon,10
29,October,128,2023,29-10-2023,Moderate,Post-Monsoon,10
30,October,133,2023,30-10-2023,Moderate,Post-Monsoon,10
31,October,142,2023,31-10-2023,Moderate,Post-Monsoon,10
1,November,130,2023,01-11-2023,Moderate,Post-Monsoon,11
2,November,156,2023,02-11-2023,Moderate,Post-Monsoon,11
3,November,200,2023,03-11-2023,Moderate,Post-Monsoon,11
4,November,168,2023,04-11-2023,Moderate,Post-Monsoon,11
5,November,120,2023,05-11-2023,Moderate,Post-Monsoon,11
6,November,157,2023,06-11-2023,Moderate,Post-Monsoon,11
7,November,112,2023,07-11-2023,Moderate,Post-Monsoon,11
8,November,70,2023,08-11-2023,Satisfactory,Post-Monsoon,11
9,November,67,2023,09-11-2023,Satisfactory,Post-Monsoon,11
10,November,77,2023,10-11-2023,Satisfactory,Post-Monsoon,11
11,November,142,2023,11-11-2023,Moderate,Post-Monsoon,11
12,November,160,2023,12-11-2023,Moderate,Post-Monsoon,11
13,November,212,2023,13-11-2023,Poor,Post-Monsoon,11
14,November,168,2023,14-11-2023,Moderate,Post-Monsoon,11
15,November,178,2023,15-11-2023,Moderate,Post-Monsoon,11
16,November,161,2023,16-11-2023,Moderate,Post-Monsoon,11
17,November,188,2023,17-11-2023,Moderate,Post-Monsoon,11
18,November,192,2023,18-11-2023,Moderate,Post-Monsoon,11
19,November,167,2023,19-11-2023,Moderate,Post-Monsoon,11
20,November,124,2023,20-11-2023,Moderate,Post-Monsoon,11
21,November,151,2023,21-11-2023,Moderate,Post-Monsoon,11
22,November,161,2023,22-11-2023,Moderate,Post-Monsoon,11
23,November,168,2023,23-11-2023,Moderate,Post-Monsoon,11
24,November,92,2023,24-11-2023,Satisfactory,Post-Monsoon,11
25,November,91,2023,25-11-2023,Satisfactory,Post-Monsoon,11
26,November,100,2023,26-11-2023,Satisfactory,Post-Monsoon,11
27,November,114,2023,27-11-2023,Moderate,Post-Monsoon,11
28,November,87,2023,28-11-2023,Satisfactory,Post-Monsoon,11
29,November,84,2023,29-11-2023,Satisfactory,Post-Monsoon,11
30,November,70,2023,30-11-2023,Satisfactory,Post-Monsoon,11
1,December,82,2023,01-12-2023,Satisfactory,Winter,12
2,December,80,2023,02-12-2023,Satisfactory,Winter,12
3,December,114,2023,03-12-2023,Moderate,Winter,12
4,December,96,2023,04-12-2023,Satisfactory,Winter,12
5,December,105,2023,05-12-2023,Moderate,Winter,12
6,December,124,2023,06-12-2023,Moderate,Winter,12
7,December,122,2023,07-12-2023,Moderate,Winter,12
8,December,116,2023,08-12-2023,Moderate,Winter,12
9,December,119,2023,09-12-2023,Moderate,Winter,12
10,December,182,2023,10-12-2023,Moderate,Winter,12
11,December,176,2023,11-12-2023,Moderate,Winter,12
12,December,116,2023,12-12-2023,Moderate,Winter,12
14,December,158,2023,14-12-2023,Moderate,Winter,12
15,December,147,2023,15-12-2023,Moderate,Winter,12
